"annotation_id","annotator","created_at","id","lead_time","tricks","updated_at","url"
12,"1","2024-10-14T02:38:04.287276Z",11,50.706,"[{""start"":0,""end"":2.3927016129032257,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":3.22945564516129,""end"":6.299858870967742,""channel"":0,""labels"":[""spinning""]},{""start"":6.7770161290322575,""end"":10.29,""channel"":0,""labels"":[""spinning""]}]","2024-10-14T02:38:04.287296Z","/data/upload/1/4df386b7-7-hecho-con-clipchamp_1080p_25fps_10pts.webm"
13,"1","2024-10-14T02:39:09.318126Z",12,63.814,"[{""start"":0,""end"":0.9419932795698924,""channel"":0,""labels"":[""spinning""]},{""start"":1.607317204301075,""end"":2.4636747311827953,""channel"":0,""labels"":[""spinning""]},{""start"":2.6810577956989246,""end"":4.756077956989246,""channel"":0,""labels"":[""walking_away""]},{""start"":4.815364247311828,""end"":6.060376344086022,""channel"":0,""labels"":[""spinning""]},{""start"":6.238235215053764,""end"":7.437135752688172,""channel"":0,""labels"":[""siting_down""]},{""start"":9.28159811827957,""end"":9.802,""channel"":0,""labels"":[""standing_up""]}]","2024-10-14T02:39:09.318143Z","/data/upload/1/0b8ec662-8-hecho-con-clipchamp_1080p_25fps_10pts.webm"
14,"1","2024-10-14T02:44:41.431026Z",13,330.944,"[{""start"":0,""end"":0.9297903225806452,""channel"":0,""labels"":[""standing_up""]},{""start"":2.5227399193548385,""end"":3.931098790322581,""channel"":0,""labels"":[""siting_down""]},{""start"":5.031806451612903,""end"":6.385471774193548,""channel"":0,""labels"":[""standing_up""]},{""start"":7.034957661290322,""end"":7.554546370967741,""channel"":0,""labels"":[""spinning""]},{""start"":8.484336693548387,""end"":9.13382258064516,""channel"":0,""labels"":[""spinning""]},{""start"":9.338923387096774,""end"":10.173,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-10-14T02:44:41.431044Z","/data/upload/1/cd1e095f-9-hecho-con-clipchamp_1080p_25fps_10pts.webm"
15,"1","2024-10-14T02:46:07.624092Z",14,84.818,"[{""start"":0.007211021505376345,""end"":1.04559811827957,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":1.4061491935483872,""end"":2.0190860215053763,""channel"":0,""labels"":[""spinning""]},{""start"":2.1488844086021506,""end"":3.9227956989247312,""channel"":0,""labels"":[""walking_away""]},{""start"":4.175181451612903,""end"":6.980268817204301,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":7.376875000000001,""end"":8.141243279569892,""channel"":0,""labels"":[""spinning""]},{""start"":8.674858870967743,""end"":9.929576612903226,""channel"":0,""labels"":[""spinning""]},{""start"":10.030530913978495,""end"":10.73,""channel"":0,""labels"":[""walking_away""]}]","2024-10-14T02:46:07.624111Z","/data/upload/1/9476d0d3-10-hecho-con-clipchamp_1080p_25fps_10pts.webm"
16,"1","2024-10-14T02:47:42.476492Z",15,93.626,"[{""start"":0,""end"":1.363171370967742,""channel"":0,""labels"":[""walking_away""]},{""start"":1.3951706989247312,""end"":2.4767479838709674,""channel"":0,""labels"":[""spinning""]},{""start"":3.3791290322580645,""end"":4.326309139784946,""channel"":0,""labels"":[""siting_down""]},{""start"":4.723100806451613,""end"":5.6318817204301075,""channel"":0,""labels"":[""standing_up""]},{""start"":6.700659274193548,""end"":7.539041666666666,""channel"":0,""labels"":[""siting_down""]},{""start"":8.339024865591398,""end"":9.16460752688172,""channel"":0,""labels"":[""standing_up""]}]","2024-10-14T02:47:42.476513Z","/data/upload/1/9f300127-11-hecho-con-clipchamp_1080p_25fps_10pts.webm"
17,"1","2024-10-14T02:48:50.947112Z",16,67.16,"[{""start"":0.6382338709677419,""end"":1.5919166666666669,""channel"":0,""labels"":[""siting_down""]},{""start"":2.2448225806451614,""end"":3.1985053763440865,""channel"":0,""labels"":[""standing_up""]},{""start"":3.9467795698924735,""end"":4.783086021505376,""channel"":0,""labels"":[""siting_down""]},{""start"":5.135215053763441,""end"":5.956849462365591,""channel"":0,""labels"":[""standing_up""]},{""start"":7.277333333333333,""end"":8.289704301075268,""channel"":0,""labels"":[""siting_down""]},{""start"":9.023306451612903,""end"":9.976989247311828,""channel"":0,""labels"":[""standing_up""]},{""start"":10.783951612903227,""end"":10.916,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-10-14T02:48:50.947134Z","/data/upload/1/e67c7b7f-12-hecho-con-clipchamp_1080p_25fps_10pts.webm"
18,"1","2024-10-28T16:41:22.989545Z",17,1252.331,"[{""start"":0.012301075268817204,""end"":4.010150537634408,""channel"":0,""labels"":[""walking_to_camera"",""walking_away""]},{""start"":5.0311397849462365,""end"":8.426236559139785,""channel"":0,""labels"":[""walking_away""]}]","2024-10-28T16:41:36.163500Z","/data/upload/2/c8ffc1ae-VID_20241024_143221.webm"
19,"1","2024-10-28T20:02:20.215684Z",18,155.9,"[{""start"":0.08656666666666667,""end"":5.775233333333333,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":7.011899999999999,""end"":10.3509,""channel"":0,""labels"":[""walking_away""]}]","2024-10-28T20:02:20.215684Z","/data/upload/2/6875ed6e-VID_20241024_143820.webm"
20,"1","2024-10-28T23:34:08.742529Z",19,65.837,"[{""start"":1.8230322580645162,""end"":8.436588172043011,""channel"":0,""labels"":[""spinning""]}]","2024-10-28T23:34:08.742529Z","/data/upload/2/fc0c4580-VID_20241024_143902.webm"
21,"1","2024-10-28T23:36:29.033074Z",20,136.302,"[{""start"":1.783720430107527,""end"":13.5652688172043,""channel"":0,""labels"":[""spinning""]}]","2024-10-28T23:36:29.033074Z","/data/upload/2/572766ac-VID_20241024_144442.webm"
22,"1","2024-10-28T23:38:00.038417Z",21,79.687,"[{""start"":0.059177419354838716,""end"":4.29628064516129,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":6.071603225806451,""end"":10.036490322580645,""channel"":0,""labels"":[""walking_away""]}]","2024-10-28T23:38:00.038417Z","/data/upload/2/b51d60b5-VID_20241024_143309.webm"
23,"1","2024-10-28T23:44:58.389382Z",22,163.06,"[{""start"":3.9054322580645158,""end"":5.290425806451613,""channel"":0,""labels"":[""siting_down""]},{""start"":0.2620258064516129,""end"":1.6283032258064514,""channel"":0,""labels"":[""standing_up""]}]","2024-10-28T23:44:58.389382Z","/data/upload/2/de0dfcce-VID_20241024_142655.webm"
24,"1","2024-10-28T23:48:20.950188Z",23,199.23,"[{""start"":0.0763225806451613,""end"":2.845741935483871,""channel"":0,""labels"":[""spinning""]},{""start"":3.0420000000000003,""end"":5.5279354838709684,""channel"":0,""labels"":[""spinning""]},{""start"":6.1167096774193555,""end"":9.714774193548386,""channel"":0,""labels"":[""spinning""]}]","2024-10-28T23:48:20.950188Z","/data/upload/2/4e8a4299-VID_20241024_143508.webm"
25,"1","2024-10-28T23:49:41.209746Z",24,77.404,"[{""start"":0.02143440860215054,""end"":3.140140860215054,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":4.844176344086022,""end"":9.034603225806453,""channel"":0,""labels"":[""walking_away""]}]","2024-10-28T23:49:41.209746Z","/data/upload/2/d8e1f3c2-VID_20241024_142510.webm"
26,"1","2024-10-28T23:51:34.626381Z",25,108.348,"[{""start"":2.8173268817204304,""end"":4.554593548387097,""channel"":0,""labels"":[""siting_down""]}]","2024-10-28T23:51:34.626381Z","/data/upload/2/776d0be0-VID_20241024_142702.webm"
28,"1","2024-10-29T00:29:25.408676Z",27,62.827,"[{""start"":0.555767741935484,""end"":4.712447311827957,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":6.136602150537636,""end"":10.246967741935485,""channel"":0,""labels"":[""walking_away""]}]","2024-10-29T00:29:25.408676Z","/data/upload/2/5483a889-VID_20241024_143839.webm"
29,"1","2024-10-29T00:40:57.271763Z",28,688.368,"[{""start"":0.1584182795698925,""end"":3.7167365591397847,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":5.337477419354839,""end"":10.46779247311828,""channel"":0,""labels"":[""walking_away""]}]","2024-10-29T00:40:57.271763Z","/data/upload/2/e222574d-VID_20241024_144322.webm"
30,"1","2024-10-29T00:45:22.090793Z",29,258.395,"[{""start"":1.4516688172043013,""end"":9.876107526881722,""channel"":0,""labels"":[""spinning""]}]","2024-10-29T00:45:22.090793Z","/data/upload/2/fb9036db-VID_20241024_142556.webm"
31,"1","2024-10-29T00:45:59.228281Z",30,34.175,"[{""start"":0.18774946236559142,""end"":9.166591397849462,""channel"":0,""labels"":[""spinning""]}]","2024-10-29T00:45:59.228281Z","/data/upload/2/c750696c-VID_20241024_144018.webm"
34,"1","2024-10-29T01:44:26.332957Z",33,178.609,"[{""start"":0.14494193548387097,""end"":2.391541935483871,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":4.203316129032259,""end"":7.959727956989248,""channel"":0,""labels"":[""walking_away""]}]","2024-10-29T01:44:26.332957Z","/data/upload/2/1b057ce7-VID_20241024_142452.webm"
35,"1","2024-10-29T01:50:01.794456Z",34,332.989,"[{""start"":6.609920430107526,""end"":8.416490322580644,""channel"":0,""labels"":[""standing_up""]},{""start"":10.18055268817204,""end"":12.00837634408602,""channel"":0,""labels"":[""siting_down""]},{""start"":14.240021505376344,""end"":15.96157634408602,""channel"":0,""labels"":[""standing_up""]},{""start"":17.513101075268814,""end"":18.95835698924731,""channel"":0,""labels"":[""siting_down""]}]","2024-10-29T01:50:01.794456Z","/data/upload/2/05c4bbd4-VID_20241024_143549.webm"
36,"1","2024-10-29T01:53:34.293469Z",35,208.452,"[{""start"":1.418494623655914,""end"":4.986666666666666,""channel"":0,""labels"":[""spinning""]},{""start"":5.44,""end"":8.715698924731182,""channel"":0,""labels"":[""spinning""]},{""start"":9.783225806451613,""end"":13.190537634408601,""channel"":0,""labels"":[""spinning""]}]","2024-10-29T01:53:34.293469Z","/data/upload/2/ae696538-VID_20241024_142936.webm"
37,"1","2024-10-29T01:57:06.633092Z",36,208.152,"[{""start"":0.907763440860215,""end"":4.077952688172043,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":5.432615053763441,""end"":10.571952688172043,""channel"":0,""labels"":[""walking_away""]}]","2024-10-29T01:57:06.633092Z","/data/upload/2/f5bd30ee-VID_20241024_142853.webm"
38,"1","2024-11-02T20:21:02.991864Z",37,71.757,"[{""start"":0.0723444976076555,""end"":3.870430622009569,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":3.8824880382775118,""end"":5.341435406698564,""channel"":0,""labels"":[""spinning""]},{""start"":5.3534928229665075,""end"":9.573588516746412,""channel"":0,""labels"":[""walking_away"",""spinning""]},{""start"":9.670047846889952,""end"":11.249569377990431,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:21:02.991885Z","/data/upload/1/15a6d895-vid-20241024-141941_1080p_25fps_10pts.webm"
39,"1","2024-11-02T20:22:01.606987Z",38,55.023,"[{""start"":0.009409569377990432,""end"":3.3215779904306224,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":3.3686258373205744,""end"":4.347221052631579,""channel"":0,""labels"":[""spinning""]},{""start"":4.413088038277512,""end"":8.139277511961723,""channel"":0,""labels"":[""walking_away""]},{""start"":8.176915789473684,""end"":8.92968133971292,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:22:01.607006Z","/data/upload/1/76f8a9c5-vid-20241024-142010_1080p_25fps_10pts.webm"
40,"1","2024-11-02T20:22:27.800928Z",39,22.975,"[{""start"":0.07971291866028708,""end"":11.7177990430622,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:22:27.800948Z","/data/upload/1/9bd76819-vid-20241024-142041_1080p_25fps_10pts.webm"
41,"1","2024-11-02T20:22:40.374140Z",40,11.412,"[{""start"":0.03980861244019139,""end"":9.832727272727272,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:22:40.374158Z","/data/upload/1/f891dc8b-vid-20241024-142105_1080p_25fps_10pts.webm"
42,"1","2024-11-02T20:24:19.367149Z",41,97.573,"[{""start"":0.09696842105263158,""end"":1.4545263157894734,""channel"":0,""labels"":[""standing_up""]},{""start"":3.5151052631578947,""end"":5.430231578947368,""channel"":0,""labels"":[""siting_down""]},{""start"":7.0302105263157895,""end"":8.896852631578946,""channel"":0,""labels"":[""standing_up""]},{""start"":10.327136842105263,""end"":12.07256842105263,""channel"":0,""labels"":[""siting_down""]},{""start"":21.890621052631577,""end"":23.27242105263158,""channel"":0,""labels"":[""standing_up""]},{""start"":24.38755789473684,""end"":25.333,""channel"":0,""labels"":[""siting_down""]}]","2024-11-02T20:24:19.367170Z","/data/upload/1/51e714fb-vid-20241024-142214_1080p_25fps_10pts.webm"
43,"1","2024-11-02T20:24:47.087065Z",42,26.316,"[{""start"":0.06353684210526316,""end"":8.948105263157895,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:24:47.087085Z","/data/upload/1/aca0acfd-vid-20241024-142537_1080p_25fps_10pts.webm"
44,"1","2024-11-02T20:25:52.150094Z",43,22.225,"[{""start"":8.69691961722488,""end"":10.033888995215312,""channel"":0,""labels"":[""standing_up""]},{""start"":12.522505263157896,""end"":13.674152153110049,""channel"":0,""labels"":[""siting_down""]}]","2024-11-02T20:25:52.150114Z","/data/upload/1/2a1d2ce5-vid-20241024-142638_1080p_25fps_10pts.webm"
45,"1","2024-11-02T20:26:38.766274Z",44,45.455,"[{""start"":1.4583444976076556,""end"":6.611161722488038,""channel"":0,""labels"":[""walking_to_camera"",""spinning""]},{""start"":6.675977033492823,""end"":8.101913875598086,""channel"":0,""labels"":[""spinning""]},{""start"":8.733863157894737,""end"":13.708438277511961,""channel"":0,""labels"":[""walking_away""]}]","2024-11-02T20:26:38.766293Z","/data/upload/1/0e30aec8-vid-20241024-142830_1080p_25fps_10pts.webm"
46,"1","2024-11-02T20:27:08.439640Z",45,28.339,"[{""start"":0.1843645933014354,""end"":9.489354066985646,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:27:08.439661Z","/data/upload/1/4a9d6a10-vid-20241024-142922_1080p_25fps_10pts.webm"
47,"1","2024-11-02T20:28:10.825403Z",46,61.352,"[{""start"":0.19935885167464112,""end"":2.312562679425837,""channel"":0,""labels"":[""standing_up""]},{""start"":3.5685234449760763,""end"":5.342817224880382,""channel"":0,""labels"":[""siting_down""]},{""start"":7.236726315789474,""end"":9.050891866028708,""channel"":0,""labels"":[""standing_up""]},{""start"":10.845121531100476,""end"":12.858645933014353,""channel"":0,""labels"":[""siting_down""]},{""start"":14.772490909090909,""end"":16.467041148325357,""channel"":0,""labels"":[""standing_up""]},{""start"":18.18152727272727,""end"":19.915949282296648,""channel"":0,""labels"":[""siting_down""]}]","2024-11-02T20:28:10.825426Z","/data/upload/1/6b5ea1e7-vid-20241024-143040_1080p_25fps_10pts.webm"
48,"1","2024-11-02T20:28:28.924211Z",47,16.818,"[{""start"":0.0408688995215311,""end"":10.442003827751195,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:28:28.924235Z","/data/upload/1/c571e5ac-vid-20241024-143522_1080p_25fps_10pts.webm"
49,"1","2024-11-02T20:29:26.798776Z",48,56.793,"[{""start"":2.6379933014354067,""end"":6.753815311004783,""channel"":0,""labels"":[""walking_to_camera""]},{""start"":7.6377502392344505,""end"":9.04652153110048,""channel"":0,""labels"":[""spinning""]},{""start"":9.543734928229664,""end"":12.568449760765551,""channel"":0,""labels"":[""walking_away""]},{""start"":12.886113875598086,""end"":14.018655502392344,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:29:26.798795Z","/data/upload/1/b9d3b445-vid-20241024-143735_1080p_25fps_10pts.webm"
50,"1","2024-11-02T20:30:23.484124Z",49,55.413,"[{""start"":1.1129435406698565,""end"":2.426581818181818,""channel"":0,""labels"":[""standing_up""]},{""start"":4.050384688995215,""end"":5.491737799043062,""channel"":0,""labels"":[""siting_down""]},{""start"":6.768886124401914,""end"":8.02778947368421,""channel"":0,""labels"":[""standing_up""]},{""start"":9.250202870813396,""end"":10.56384114832536,""channel"":0,""labels"":[""siting_down""]},{""start"":12.607278468899521,""end"":13.884426794258372,""channel"":0,""labels"":[""standing_up""]},{""start"":16.183293779904307,""end"":17.58815693779904,""channel"":0,""labels"":[""siting_down""]}]","2024-11-02T20:30:23.484142Z","/data/upload/1/988de794-vid-20241024-144051_1080p_25fps_10pts.webm"
51,"1","2024-11-02T20:30:43.594524Z",50,18.654,"[{""start"":0.3253492822966507,""end"":10.823286124401914,""channel"":0,""labels"":[""spinning""]}]","2024-11-02T20:30:43.594544Z","/data/upload/1/4ab07be5-vid-20241024-144423_1080p_25fps_10pts.webm"
52,"1","2024-11-02T20:32:20.749099Z",51,95.606,"[{""start"":0.021435406698564592,""end"":0.8574162679425834,""channel"":0,""labels"":[""standing_up""]},{""start"":1.886315789473684,""end"":3.3867942583732056,""channel"":0,""labels"":[""siting_down""]},{""start"":4.71578947368421,""end"":5.916172248803828,""channel"":0,""labels"":[""standing_up""]},{""start"":6.837894736842106,""end"":8.316937799043062,""channel"":0,""labels"":[""siting_down""]},{""start"":9.367272727272725,""end"":10.846315789473683,""channel"":0,""labels"":[""standing_up""]},{""start"":11.510813397129185,""end"":12.904114832535885,""channel"":0,""labels"":[""siting_down""]},{""start"":13.890143540669854,""end"":15.111961722488036,""channel"":0,""labels"":[""standing_up""]},{""start"":16.20516746411483,""end"":17.31980861244019,""channel"":0,""labels"":[""siting_down""]},{""start"":18.262966507177033,""end"":19.484784688995216,""channel"":0,""labels"":[""standing_up""]},{""start"":20.62086124401914,""end"":21.885550239234448,""channel"":0,""labels"":[""siting_down""]}]","2024-11-02T20:32:20.749120Z","/data/upload/1/563eaa3c-vid-20241024-144523_1080p_25fps_10pts.webm"
53,"1","2024-11-17T04:27:29.956077Z",52,150.257,"[{""start"":0.352331340734415,""end"":3.451409052092229,""channel"":0,""labels"":[""walking_away""]}]","2024-11-17T04:27:29.956077Z","/data/upload/3/aca3902c-CaminandoE-01.webm"
54,"1","2024-11-17T04:31:12.212350Z",53,221.648,"[{""start"":0.7185538362346873,""end"":3.4901186331399097,""channel"":0,""labels"":[""walking_away""]}]","2024-11-17T04:31:12.212350Z","/data/upload/3/9d8f597d-CaminandoE-02.webm"
55,"1","2024-11-17T04:31:34.010017Z",54,21.466,"[{""start"":1.2547221147646679,""end"":4.516333978078659,""channel"":0,""labels"":[""walking_away""]}]","2024-11-17T04:31:34.010017Z","/data/upload/3/b8f159bd-CaminandoE-03.webm"
56,"1","2024-11-17T04:32:15.310197Z",55,40.932,"[{""start"":0.4312450032237266,""end"":3.8898878143133464,""channel"":0,""labels"":[""walking_away""]}]","2024-11-17T04:32:15.310197Z","/data/upload/3/960ba3bb-CaminandoE-04.webm"
57,"1","2024-11-17T04:32:46.844588Z",56,31.234,"[{""start"":0.2534003868471954,""end"":2.9853733075435205,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-11-17T04:32:46.844588Z","/data/upload/3/fa855fe9-CaminandoF-01.webm"
58,"1","2024-11-17T04:37:49.586727Z",57,26.169,"[{""start"":0.8077756286266924,""end"":3.540041263700838,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-11-17T04:37:49.586727Z","/data/upload/3/4bab92c8-CaminandoF-02.webm"
59,"1","2024-11-17T04:38:32.523600Z",58,42.61,"[{""start"":0.8847575757575759,""end"":3.5625454545454547,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-11-17T04:38:32.523600Z","/data/upload/3/a51c683a-CaminandoF-03.webm"
60,"1","2024-11-17T04:42:26.788666Z",59,233.629,"[{""start"":0.7514474532559638,""end"":3.692911025145068,""channel"":0,""labels"":[""walking_to_camera""]}]","2024-11-17T04:42:26.788666Z","/data/upload/3/deeaff52-CaminandoF-04.webm"
61,"1","2024-11-17T04:42:51.530974Z",60,24.433,"[{""start"":0.3100386847195358,""end"":3.2077079303675045,""channel"":0,""labels"":[""spinning""]}]","2024-11-17T04:42:51.530974Z","/data/upload/3/5f735b18-Giro-01.webm"
62,"1","2024-11-17T04:43:40.889698Z",61,49.076,"[{""start"":1.0171972920696326,""end"":4.29409671179884,""channel"":0,""labels"":[""spinning""]}]","2024-11-17T04:43:40.889698Z","/data/upload/3/d0a73af8-Giro-02.webm"
63,"1","2024-11-17T04:44:06.244073Z",62,25.029,"[{""start"":1.9419045776918118,""end"":5.05898388136686,""channel"":0,""labels"":[""spinning""]}]","2024-11-17T04:44:06.244073Z","/data/upload/3/f9abbd2f-Giro-03.webm"
64,"1","2024-11-17T04:45:32.753917Z",63,86.215,"[{""start"":0.9678413926499031,""end"":3.6593887814313346,""channel"":0,""labels"":[""spinning""]}]","2024-11-17T04:45:32.753917Z","/data/upload/3/ea56c207-Giro-04.webm"
65,"1","2024-11-17T04:46:08.948429Z",64,35.878,"[{""start"":1.0432398452611218,""end"":2.162814313346228,""channel"":0,""labels"":[""standing_up""]}]","2024-11-17T04:46:08.948429Z","/data/upload/3/0ebef558-Parado-01.webm"
66,"1","2024-11-17T04:46:26.325601Z",65,17.09,"[{""start"":1.2386557059961316,""end"":2.473230174081238,""channel"":0,""labels"":[""standing_up""]}]","2024-11-17T04:46:26.325601Z","/data/upload/3/c2423612-Parado-02.webm"
67,"1","2024-11-17T04:47:43.010158Z",66,76.076,"[{""start"":1.9430141843971633,""end"":3.1013971631205672,""channel"":0,""labels"":[""standing_up"",""walking_right_to_left""]}]","2024-11-17T04:47:43.010158Z","/data/upload/3/18b9dd7b-Parado-03.webm"
68,"1","2024-11-17T04:48:06.429755Z",67,23.109,"[{""start"":0.9399226305609284,""end"":1.7480954223081882,""channel"":0,""labels"":[""standing_up""]}]","2024-11-17T04:48:06.429755Z","/data/upload/3/a4ac14cd-Parado-04.webm"
